Address,ChildListingUrl,ChildListings,Description,DispensaryName,Email,Facebook,Friday,Instagram,ListingUrl,Listings,Monday,Phone,Saturday,State,StoreUrl,Sunday,Thursday,Tuesday,Twitter,Type,Website,Wednesday,latitude,longitude
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/ultra-health-los-lunas,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/terrasana-dispensaries-columbus,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/bloom-medicinals-cannabis-dispensary-columbus,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/debbie-s-dispensary-hillsboro,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/ohio-grown-therapies-llc,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/verdant-creations-newark,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/verdant-creations-marion,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/verdant-creations-chillicothe,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/greenleaf-apothecary-columbus,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/herbology-newark,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/ohio/akron,Akron,,,,,,,https://weedmaps.com/dispensaries/in/united-states/ohio,Ohio,,,,United States,https://weedmaps.com/dispensaries/verdant-creations-columbus,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/healthy-education-society,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/grassroots-rx-bosque-plaza-lane,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/minerva-canna-group-bernalillo,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/seven-clover-juan-tabo-blvd,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/natural-rx-3,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/natural-rx-rio-rancho,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/southwest-wellness-san-pedro,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/grassroots-rx-san-mateo-blvd,,,,,,,,,
,https://weedmaps.com/dispensaries/in/united-states/new-mexico/albuquerque,Albuquerque,,,,,,,https://weedmaps.com/dispensaries/in/united-states/new-mexico,New Mexico,,,,United States,https://weedmaps.com/dispensaries/natural-rx-2,,,,,,,,,
